Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
2919,7,30,0,2838,211,226,1140,Commanche,C7202
3218,5,485,36,4351,229,236,2663,Rawah,C7745
2898,23,127,58,180,234,186,1215,Rawah,C7745
2796,31,190,93,1635,151,248,1590,Commanche,C2705
2928,14,153,15,5101,187,249,1611,Rawah,C7745
3279,8,67,14,787,231,225,824,Neota,C7756
2521,6,268,62,210,209,229,395,Cache,C2717
2952,9,30,-6,4763,235,225,4797,Rawah,C7745
3028,13,127,24,2730,200,215,1034,Commanche,C7755
3288,21,624,194,3293,159,216,3483,Commanche,C8776
2968,7,576,72,6050,213,247,5916,Rawah,C7745
3147,12,361,66,1412,235,219,3360,Commanche,C7757
2926,16,120,23,5037,189,252,1524,Rawah,C7745
2870,6,551,96,3810,230,235,5909,Rawah,C4744
3194,17,270,55,2406,174,223,300,Commanche,C7757
3139,18,524,-9,5922,242,235,1383,Rawah,C7745
3098,18,153,40,3632,166,234,755,Rawah,C7745
2423,19,190,53,1120,229,245,1433,Commanche,C2705
2721,15,0,0,2214,180,228,362,Commanche,C7202
3175,10,270,33,3397,232,241,607,Commanche,C7201
2929,4,67,3,5076,225,233,3314,Rawah,C7202
2922,22,408,178,2881,198,254,1209,Commanche,C2705
2894,28,150,65,2393,182,253,2043,Commanche,C4758
2443,18,150,65,589,167,238,408,Cache,C4703
2719,16,67,19,2175,191,212,6367,Rawah,C7745
2971,25,90,-4,2234,203,252,1847,Commanche,C7757
2475,12,212,23,607,195,223,1332,Cache,C2717
2616,17,67,10,1273,214,200,1875,Commanche,C4704
3031,6,0,0,6672,224,228,3194,Rawah,C7102
3210,9,108,9,5597,218,248,1032,Rawah,C7745
3153,4,277,116,2250,226,237,1116,Commanche,C7756
2595,19,295,174,1776,194,254,543,Commanche,C2705
2687,22,127,49,2581,156,216,1206,Commanche,C4703
2673,18,60,15,1679,198,201,6386,Rawah,C7745
3105,15,330,-10,908,244,221,1205,Commanche,C7201
3376,8,162,27,2778,231,226,1614,Commanche,C8771
3240,12,127,17,3602,186,242,1718,Rawah,C7745
2813,25,402,63,1383,161,192,1198,Commanche,C7757
3226,18,90,-1,2520,223,199,1518,Commanche,C7202
2678,21,120,39,1909,242,234,1466,Rawah,C7746
2720,9,108,7,2193,234,238,4195,Rawah,C4744
3041,8,210,59,6313,229,225,3343,Rawah,C7745
2967,2,234,25,1814,216,240,2190,Commanche,C7756
2890,5,240,0,1842,228,234,1374,Commanche,C7756
2757,10,134,15,660,228,220,2274,Commanche,C4704
2893,8,591,38,2858,218,223,3466,Rawah,C7745
2861,7,30,3,1638,214,226,1205,Commanche,C7202
2990,22,457,174,666,223,187,765,Commanche,C7757
3222,5,0,0,5989,216,229,474,Rawah,C7202
2419,20,67,19,926,213,191,1284,Commanche,C4703
2913,11,150,7,2962,196,223,1615,Commanche,C7201
2998,10,258,39,5622,222,247,2182,Rawah,C7745
2585,15,30,0,1648,226,247,2809,Commanche,C2705
2715,8,108,18,2415,203,229,4609,Rawah,C4744
2952,17,212,55,3889,246,228,5243,Rawah,C7746
3270,9,268,30,3302,219,248,1262,Commanche,C7756
2507,8,150,2,960,234,236,4915,Rawah,C6731
3242,6,564,8,424,205,243,755,Commanche,C7756
3361,13,1048,122,2737,224,248,1924,Commanche,C8771
3380,10,524,112,3435,211,250,162,Commanche,C7755
2501,5,210,20,912,227,239,4668,Rawah,C6731
2959,6,300,20,2460,226,227,2250,Rawah,C7745
2685,10,277,34,495,237,225,1681,Rawah,C4744
3326,17,67,20,4027,202,202,977,Rawah,C8776
2364,8,0,0,534,199,237,1358,Cache,C6101
3029,7,90,14,3392,203,232,1806,Rawah,C7745
2331,20,30,6,1290,177,205,201,Cache,C6101
2394,28,180,64,711,137,197,524,Cache,C4703
2971,12,60,4,4575,199,250,1883,Rawah,C7745
2685,17,242,1,1443,246,226,860,Commanche,C2703
2925,7,201,4,2005,213,247,1762,Commanche,C7202
2677,7,297,54,1396,217,224,1410,Rawah,C7745
2781,15,150,17,1598,240,213,2024,Rawah,C7745
3175,11,30,0,3441,239,225,433,Commanche,C7201
3250,6,558,75,3207,227,228,2995,Commanche,C7700
2924,25,0,0,365,253,204,1597,Rawah,C7746
2675,24,120,40,313,249,222,499,Rawah,C7746
3275,10,242,-1,3985,238,229,2359,Rawah,C7201
2976,16,30,10,1487,190,210,1366,Commanche,C7755
2939,9,335,-19,4115,235,236,5768,Rawah,C7745
2956,4,234,10,1436,224,233,272,Commanche,C7756
2929,7,309,-2,4306,229,240,5784,Rawah,C7745
2568,9,190,33,979,209,224,2192,Commanche,C4704
2487,29,30,-16,426,205,247,1034,Commanche,C2704
2772,11,484,-18,834,224,216,2689,Rawah,C7745
2890,14,42,3,547,206,211,2486,Rawah,C7202
2866,9,395,17,2866,223,246,2603,Rawah,C4744
2900,14,391,-38,5372,225,248,3930,Rawah,C7745
2773,2,30,1,2617,223,236,1958,Rawah,C4744
2577,20,90,26,964,180,201,532,Rawah,C7745
3053,7,42,0,3550,223,224,531,Commanche,C7202
3282,14,474,54,1832,185,223,811,Commanche,C7755
3165,30,537,163,785,238,228,1409,Commanche,C7709
3071,5,366,36,2177,213,231,1310,Rawah,C7745
2149,22,255,9,525,165,205,702,Cache,C4703
3100,5,150,17,7023,229,231,2603,Rawah,C7745
2566,8,60,3,1429,226,244,1036,Commanche,C2705
2922,8,540,124,2848,225,222,376,Commanche,C7756
2914,23,240,107,242,251,202,1044,Rawah,C7745
3014,9,124,23,3847,227,221,5501,Rawah,C7745
3262,15,426,93,1436,236,210,1440,Rawah,C7745
2694,41,180,51,1167,145,126,1831,Commanche,C7757
3161,9,30,2,700,201,228,1271,Neota,C7202
2945,17,285,6,5796,244,232,3515,Rawah,C7746
2755,27,90,30,2215,249,186,331,Commanche,C4758
3166,12,295,38,2667,203,251,636,Commanche,C7756
2482,4,170,46,467,223,241,598,Commanche,C2704
2193,41,531,126,551,134,131,752,Cache,C4703
3327,5,660,125,819,207,241,1026,Commanche,C7756
2949,9,30,4,2554,198,231,760,Commanche,C7755
2891,17,42,-2,3411,220,199,1674,Rawah,C7202
3313,34,134,50,2193,250,170,722,Commanche,C8772
2255,34,150,111,511,118,182,481,Cache,C4703
2538,29,323,-52,404,247,217,1120,Commanche,C2705
2854,4,335,53,3462,225,234,6339,Rawah,C7746
2144,27,67,5,690,243,226,722,Cache,C2717
2968,5,134,13,4288,226,229,1987,Rawah,C7746
2742,8,418,71,2430,215,224,2037,Commanche,C7756
3285,15,240,10,2742,187,249,633,Commanche,C7201
2858,10,134,16,2341,218,218,1103,Commanche,C7202
3215,19,240,77,1704,246,207,2598,Rawah,C8772
3252,17,210,46,1920,219,250,1556,Commanche,C7757
1990,19,124,58,120,214,195,201,Cache,C2717
3239,14,30,9,1866,193,217,1760,Neota,C7202
2969,17,362,56,5258,174,244,1617,Rawah,C7745
3053,35,362,69,277,127,169,1159,Commanche,C7700
2781,6,228,44,1736,202,238,2336,Rawah,C4744
2706,11,153,39,1180,189,234,1834,Rawah,C7746
2742,25,270,111,1256,206,178,1966,Commanche,C7757
3040,23,180,3,3129,186,254,1714,Commanche,C4758
2936,7,242,57,3171,202,233,2177,Rawah,C7745
3059,12,390,72,1744,214,250,3681,Rawah,C7201
2657,1,180,9,1369,220,236,6121,Rawah,C4744
2685,34,67,39,977,122,236,1416,Commanche,C4758
2983,16,633,39,2888,230,245,2348,Commanche,C7702
2830,11,335,158,1194,233,220,742,Commanche,C4758
3188,19,510,78,1024,194,254,2835,Commanche,C7756
3124,20,255,48,785,209,192,1622,Commanche,C7757
2955,20,210,13,2553,219,250,870,Commanche,C4758
2665,10,95,14,1824,237,232,418,Commanche,C4704
3296,11,240,28,3663,215,217,2142,Rawah,C8771
3254,15,459,55,558,185,219,1140,Neota,C7202
2846,11,67,4,1282,210,217,2480,Commanche,C4704
3176,19,60,9,3089,249,220,1114,Commanche,C7756
3060,15,212,-22,1390,213,206,553,Commanche,C7700
2719,13,566,106,716,236,216,2669,Rawah,C7745
2032,30,134,111,162,181,164,417,Cache,C4703
3086,16,60,14,2883,192,209,2206,Commanche,C7202
3255,18,180,40,1831,237,203,2320,Rawah,C8772
2933,14,127,23,3043,185,223,2201,Rawah,C7745
3136,4,691,114,2476,209,237,1350,Commanche,C7756
2891,11,95,37,874,214,217,569,Commanche,C7755
2353,32,175,91,1347,249,209,594,Cache,C2704
2738,10,30,3,2372,192,236,469,Commanche,C7202
3237,22,450,4,2171,191,254,1041,Rawah,C7745
2894,16,408,75,1590,203,205,2893,Commanche,C7757
3011,7,404,54,424,230,240,1448,Rawah,C7202
2596,6,162,1,685,225,228,5638,Rawah,C7745
3071,6,95,4,1624,211,229,1718,Rawah,C7745
3169,9,424,53,1988,230,223,3037,Commanche,C7700
3207,7,0,0,1926,228,226,1785,Commanche,C7202
2808,2,360,-1,2047,223,237,2173,Rawah,C4744
2912,10,30,5,1945,196,245,1205,Commanche,C7756
3209,22,182,60,3013,179,253,931,Commanche,C7757
2898,25,404,103,3191,225,179,865,Commanche,C4703
3214,17,404,11,1543,244,232,1485,Commanche,C4758
3393,21,417,138,3438,187,254,721,Rawah,C8772
3215,12,335,33,2241,229,245,1682,Commanche,C7755
3174,13,379,58,2173,242,226,2922,Commanche,C7700
2582,6,85,12,2397,224,228,2507,Commanche,C4704
3156,5,162,25,3120,205,237,806,Rawah,C7745
2990,13,297,50,313,236,239,1471,Rawah,C7202
2939,8,134,20,3871,232,226,5304,Rawah,C7745
2741,17,108,24,420,238,239,2493,Rawah,C7745
2998,12,330,26,5312,211,214,6374,Rawah,C7745
3095,8,30,4,4002,209,225,1879,Rawah,C7202
2688,6,0,0,1645,217,227,1370,Rawah,C7102
3043,10,573,132,3086,222,247,782,Commanche,C7756
3156,25,390,51,2575,228,242,3359,Commanche,C7757
2817,4,67,1,1132,213,242,182,Commanche,C4758
2620,29,351,183,779,142,190,1332,Commanche,C7757
2909,22,300,-31,335,242,195,859,Rawah,C7745
3008,8,566,43,5499,223,223,5827,Rawah,C4744
3341,13,85,13,3654,202,214,2870,Commanche,C8772
3230,9,258,32,685,223,221,1277,Neota,C7700
2684,16,335,32,953,235,206,1812,Rawah,C7202
3241,16,871,38,1690,194,209,900,Commanche,C7700
2651,14,242,68,1167,200,213,1006,Rawah,C4744
3281,11,162,13,5805,233,219,624,Rawah,C7201
2444,32,150,39,366,185,154,524,Commanche,C4703
2921,7,297,15,2346,210,228,2435,Rawah,C7745
2970,14,451,75,959,197,214,1842,Commanche,C7756
3132,22,713,-42,4147,226,187,4117,Rawah,C7745
3065,7,492,149,3150,201,236,2032,Commanche,C7755
2863,11,268,43,805,233,220,2661,Commanche,C4704
2784,18,108,42,2370,166,229,600,Commanche,C7757
3190,17,90,4,1538,246,226,1693,Rawah,C7745
3222,3,150,2,1842,224,234,845,Commanche,C7755
3165,11,258,91,4429,190,243,1215,Rawah,C7201
3304,8,799,29,2177,199,233,854,Commanche,C7756
3092,16,134,56,537,174,236,1376,Neota,C7201
2995,7,638,76,5665,219,246,3842,Rawah,C7102
2258,36,309,173,1489,100,215,860,Cache,C4703
2797,44,270,159,1495,70,206,1390,Commanche,C4758
2926,9,150,7,4981,235,225,3448,Rawah,C6101
3256,6,680,72,731,204,238,895,Neota,C7202
2185,26,400,290,424,139,223,361,Cache,C4703
3373,8,437,-2,3076,199,241,1888,Rawah,C8772
3197,7,120,38,2375,220,224,2674,Rawah,C7745
2841,5,0,0,3039,213,231,3038,Rawah,C7202
2009,38,365,158,342,144,141,912,Cache,C2706
3275,15,268,57,4221,175,234,1889,Commanche,C7201
2995,22,192,47,720,210,252,1648,Commanche,C7757
2627,13,67,-3,937,205,215,1683,Commanche,C7757
2615,14,120,-4,1237,228,211,218,Rawah,C7201
2924,16,573,128,2340,181,249,1766,Commanche,C7757
3132,15,342,94,268,244,224,1602,Rawah,C7201
2683,9,319,58,926,202,227,2905,Rawah,C4744
2972,25,270,105,6125,253,201,4156,Rawah,C7745
3197,23,30,10,4374,163,201,3625,Commanche,C7700
2968,13,30,9,3670,191,220,2490,Rawah,C7202
3071,11,120,4,1294,221,216,1249,Rawah,C7745
2330,24,484,192,706,148,233,1531,Cache,C4703
2258,22,350,112,514,173,199,270,Cache,C4703
2791,9,0,0,2143,229,223,2103,Commanche,C7202
3438,18,799,240,4832,167,237,2960,Commanche,C8772
2998,12,201,26,5189,226,246,6207,Rawah,C4744
3229,24,201,45,3294,242,231,2838,Rawah,C7745
2995,21,0,0,2525,199,190,1805,Commanche,C7102
3171,14,474,64,5770,215,209,934,Rawah,C7745
2944,13,424,17,2514,224,212,2430,Rawah,C7745
3157,11,503,22,2096,226,217,1074,Commanche,C7755
2872,9,216,-6,977,235,236,2557,Commanche,C7756
3030,14,124,19,1812,230,211,1804,Rawah,C7746
2862,13,134,11,3132,240,221,4262,Rawah,C7745
2867,4,60,2,1376,220,231,2227,Rawah,C7745
2502,15,0,0,1338,226,207,1473,Commanche,C4703
2369,12,120,50,1075,213,213,824,Cache,C4703
3142,11,277,69,5467,207,251,1464,Rawah,C7745
3292,12,283,17,1717,219,213,4878,Neota,C7201
3328,3,90,2,1302,210,238,1848,Commanche,C7756
2490,15,216,27,60,176,232,531,Cache,C4703
3101,15,268,-4,2322,229,206,1489,Rawah,C7202
3212,26,242,99,1001,253,208,1871,Rawah,C7745
3028,7,0,0,930,212,225,1521,Neota,C7201
3164,20,60,5,1507,239,238,598,Commanche,C8703
2988,5,537,71,5495,211,244,2773,Rawah,C7746
2896,26,162,95,2609,183,253,649,Commanche,C4758
2985,6,361,66,1767,229,237,2676,Commanche,C7756
3273,8,339,52,3751,219,247,2623,Rawah,C7202
3217,19,210,63,4593,163,238,3396,Rawah,C7745
2860,27,120,33,5455,251,189,4468,Rawah,C7745
3044,10,518,40,5633,236,227,4013,Rawah,C7745
2965,14,400,44,2058,210,252,2059,Commanche,C7756
3353,30,430,119,1830,239,169,2067,Rawah,C8776
3137,18,270,66,175,232,244,850,Commanche,C7756
3044,14,713,177,6120,189,250,3680,Rawah,C7745
3196,17,551,64,595,247,220,5745,Neota,C7201
3252,9,480,109,4455,197,243,1127,Rawah,C7745
2279,28,108,-12,1319,140,196,920,Cache,C4703
2148,25,60,12,339,239,233,524,Cache,C2702
2308,10,30,1,192,218,218,1159,Cache,C4703
3024,12,446,177,6254,237,218,3982,Rawah,C7745
2978,10,339,138,5340,192,232,5031,Rawah,C7700
2757,7,270,24,2549,231,231,5735,Rawah,C4744
2838,7,150,9,2947,227,226,4389,Rawah,C7745
2975,5,295,125,2496,215,230,2118,Commanche,C7756
2998,10,212,39,5581,219,248,2164,Rawah,C7745
3219,20,255,72,1358,193,254,4397,Neota,C7201
2429,11,30,4,1707,199,221,242,Commanche,C4703
3386,9,283,22,1697,197,231,768,Commanche,C8771
3106,12,335,70,3144,195,249,603,Commanche,C7756
3060,14,42,7,2069,210,252,108,Commanche,C7755
3280,9,85,15,6321,195,233,90,Rawah,C7201
2873,10,180,38,2823,194,231,2089,Commanche,C7201
3210,12,390,77,2779,188,244,836,Commanche,C7700
2919,10,268,13,5421,194,245,5043,Rawah,C7202
2636,6,60,5,1655,230,238,339,Commanche,C4704
3184,22,323,80,2844,250,206,1598,Commanche,C7755
2720,12,418,42,2420,212,213,1681,Commanche,C7756
3099,14,371,40,430,211,252,1356,Commanche,C7756
2983,7,212,32,1317,229,239,1073,Commanche,C7756
2911,7,150,16,2100,206,246,711,Commanche,C7756
2932,14,953,137,2614,196,252,1339,Commanche,C7790
2282,15,42,11,661,192,213,582,Cache,C4703
3113,17,0,0,1315,216,201,2524,Commanche,C7201
3068,1,216,0,2353,216,236,1965,Commanche,C7756
3142,12,175,36,3313,240,225,3197,Rawah,C8772
2671,23,192,79,828,216,184,1802,Commanche,C7755
3412,10,277,39,2340,192,233,2654,Commanche,C8771
2770,9,150,20,2112,198,228,2707,Rawah,C7745
2435,3,0,0,1150,225,238,713,Commanche,C5101
2863,8,175,53,2229,200,244,2603,Rawah,C7745
2856,24,124,32,1077,147,219,1385,Commanche,C7757
3031,18,1121,187,3031,193,254,1237,Commanche,C7757
3110,22,1050,163,3208,239,236,1900,Commanche,C7757
3027,6,277,4,1907,204,235,1605,Commanche,C7755
3004,14,256,8,1053,226,208,1637,Commanche,C7756
2873,16,342,75,3328,194,210,524,Commanche,C7757
3379,4,216,16,1660,208,239,834,Commanche,C8771
3213,29,481,-7,1761,189,251,3606,Rawah,C7745
2986,18,342,60,5322,174,247,1552,Rawah,C7745
2702,9,134,3,2138,230,223,7006,Rawah,C4744
2926,23,242,82,2347,172,193,1855,Commanche,C7757
3257,13,371,36,3523,219,210,3890,Rawah,C7202
3247,15,426,87,4050,178,233,2230,Commanche,C8771
2700,8,67,13,2346,233,227,1999,Rawah,C4744
2593,15,216,23,2571,203,208,2656,Commanche,C4704
3655,5,638,243,2971,213,230,1282,Rawah,C8776
2764,17,170,30,1019,229,201,721,Commanche,C7755
3275,16,242,5,3479,245,223,1231,Commanche,C7790
2674,11,459,130,1172,230,216,1332,Rawah,C7202
2941,16,95,16,1091,187,215,2250,Rawah,C7745
3108,5,295,0,2467,212,231,859,Commanche,C7756
3132,7,277,19,6615,229,241,2347,Rawah,C7745
3215,19,301,102,1071,243,205,1945,Rawah,C7745
2830,25,182,71,283,144,212,1008,Commanche,C7201
3131,21,134,40,4972,239,237,1516,Rawah,C7746
3257,14,108,26,1732,219,209,2763,Rawah,C7745
3106,9,30,3,3120,223,220,5200,Rawah,C7745
3284,2,446,44,5130,217,240,845,Rawah,C7745
3184,8,108,11,4332,203,229,631,Commanche,C7202
3346,13,90,17,850,241,232,3931,Neota,C7756
3112,7,175,15,1530,214,225,1283,Neota,C7700
3119,17,285,38,1405,195,204,2802,Commanche,C7202
2482,33,60,6,644,207,241,1101,Commanche,C2704
3207,15,319,59,3840,178,226,2030,Commanche,C7755
2922,10,553,130,4480,213,219,5308,Rawah,C4744
2943,17,240,-16,382,241,207,967,Rawah,C7745
3109,13,216,42,3211,235,241,3048,Rawah,C7746
3173,19,532,82,3904,178,251,983,Commanche,C7757
2625,9,192,24,553,235,226,1350,Rawah,C4744
3104,26,420,168,1550,252,196,2619,Commanche,C7757
2714,7,258,25,2122,227,226,5644,Rawah,C4744
2797,27,175,118,1889,136,230,1213,Commanche,C4758
2852,3,0,0,5518,225,238,722,Rawah,C7746
3191,13,150,16,564,184,239,1324,Commanche,C7202
2574,32,30,15,1974,161,250,446,Commanche,C2705
3131,10,631,90,624,220,248,1790,Commanche,C7757
2925,27,42,19,2592,186,253,1797,Commanche,C7757
2956,5,426,24,3998,218,230,4694,Rawah,C4744
3209,15,655,62,2701,182,224,162,Commanche,C7202
3219,21,323,83,967,204,188,5167,Neota,C7201
2932,10,60,1,1868,201,249,1338,Commanche,C7756
3131,7,90,24,569,204,230,947,Neota,C7202
3261,18,594,97,2697,202,201,3427,Commanche,C7756
3247,21,366,109,933,188,254,4656,Neota,C7756
2661,7,234,45,1158,212,226,882,Commanche,C4704
3449,12,0,0,2015,230,215,3238,Neota,C8703
3086,5,0,0,3157,206,234,5260,Rawah,C7745
2660,32,127,60,2992,159,249,1354,Commanche,C2705
2588,14,85,20,1325,242,218,743,Rawah,C7746
2562,10,30,-3,2324,220,248,2126,Commanche,C2703
3236,15,90,15,1296,205,253,752,Commanche,C7756
2955,12,210,36,3759,225,214,5322,Rawah,C7745
2968,8,424,52,5474,202,245,3753,Rawah,C7745
3094,14,170,53,569,180,231,1205,Neota,C7201
3150,20,589,214,1318,250,213,2400,Commanche,C7757
2762,12,484,105,2737,197,221,1465,Commanche,C7756
2937,12,693,95,2657,208,251,1692,Commanche,C7702
2715,19,212,17,960,171,213,2278,Rawah,C7745
3289,15,124,6,3395,216,205,2748,Commanche,C8772
2098,28,180,48,240,231,170,424,Cache,C4703
3011,12,457,92,5626,204,251,3055,Rawah,C7745
2809,3,532,21,845,220,232,1307,Commanche,C4704
3210,15,256,72,1590,242,216,2646,Rawah,C7745
2910,13,120,8,2388,232,243,2713,Commanche,C7702
3679,14,1082,270,5053,209,210,3409,Commanche,C8776
3340,10,350,61,3546,218,249,1518,Commanche,C7756
2573,17,124,32,595,245,211,2230,Rawah,C4744
3227,2,30,1,3301,223,237,2046,Rawah,C8771
3146,19,162,8,1806,249,217,2055,Commanche,C7757
2955,10,342,-6,4187,237,228,2138,Rawah,C7202
3196,5,324,18,5521,223,229,2799,Rawah,C7745
3388,13,883,160,2280,188,224,1200,Commanche,C7756
2915,28,256,7,268,201,167,1518,Rawah,C7745
3214,14,108,9,2969,232,211,4966,Rawah,C7745
3001,15,408,39,5854,183,247,1825,Rawah,C7745
2725,5,335,36,2151,217,229,5792,Rawah,C4744
2998,15,450,108,5340,181,246,990,Rawah,C7746
3352,20,924,149,2087,182,202,553,Commanche,C8776
2335,8,313,-67,0,199,233,582,Cache,C2703
3086,11,0,0,1348,239,224,1253,Rawah,C7201
2574,7,212,17,1263,230,227,4858,Rawah,C6731
3468,17,120,-14,1740,246,215,1765,Neota,C8772
3218,18,42,6,4430,206,199,3463,Commanche,C7201
2752,22,60,16,3301,168,204,6006,Rawah,C7745
3239,14,60,7,1626,222,209,890,Commanche,C8772
3210,8,258,29,1678,213,223,1982,Neota,C7757
3021,12,624,56,5468,219,213,5586,Rawah,C4744
3303,12,480,28,2477,191,226,781,Commanche,C7756
2207,26,573,50,642,162,250,942,Cache,C2702
3229,10,201,1,3612,215,249,1620,Commanche,C7756
3180,13,351,62,2795,214,212,1026,Commanche,C7201
3195,33,757,314,1195,237,221,2856,Rawah,C7745
2942,14,661,144,2837,227,209,497,Commanche,C7756
2909,2,323,16,3957,216,234,3721,Rawah,C7745
2587,6,150,9,940,223,227,1507,Commanche,C4704
2431,28,120,43,731,247,181,1172,Commanche,C2705
3185,12,272,48,1489,216,213,124,Rawah,C7201
3319,7,532,104,2093,222,225,2274,Rawah,C8771
3080,15,190,3,2135,181,222,1645,Rawah,C7745
3255,8,85,10,5500,234,235,780,Rawah,C7201
3089,14,153,-7,779,239,216,1652,Rawah,C7202
2840,14,268,37,3421,224,209,5228,Rawah,C7745
3070,11,134,15,3475,237,235,782,Rawah,C7745
2531,10,335,9,1140,227,219,4109,Rawah,C6731
